Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
231160;3;2;1;4;3;3;2;2;1;1;3;1
231170;1;1;4;2;3;2;1;6;3;2;1;3
231180;10;9;8;9;6;6;5;6;7;5;6;9
231190;-;2;-;6;2;2;-;1;1;2;2;1
231195;-;2;-;-;-;1;1;-;-;2;-;-
231220;4;4;4;5;6;4;3;3;4;5;3;6
231200;3;-;2;4;3;2;2;-;3;1;2;2
231210;-;-;1;2;-;-;1;-;1;2;1;1
231230;8;6;4;-;-;2;4;4;4;6;3;2
231240;5;4;2;2;3;3;2;4;5;-;5;2
231250;-;2;2;-;2;-;-;-;-;-;2;-
231260;3;1;-;-;-;-;2;-;-;-;-;1
231270;4;2;1;6;3;5;1;1;3;4;2;1
231280;-;2;-;-;1;1;1;-;-;2;1;-
231290;16;20;20;13;14;19;22;20;11;15;29;15
231300;1;2;2;2;1;-;1;2;1;-;1;2
231310;2;1;3;2;2;4;4;3;2;1;3;1
231320;4;3;2;-;5;5;1;4;1;-;-;1
231325;-;1;1;1;-;1;1;-;1;1;2;-
231330;7;6;4;5;11;7;2;4;7;6;5;8
231335;1;-;2;-;1;-;3;-;1;-;-;2
231340;2;3;6;5;6;6;4;6;3;6;5;5
231350;3;1;4;2;-;2;2;4;3;3;3;2
231355;-;3;1;-;2;2;2;-;1;1;2;1
231360;3;3;4;5;2;3;3;5;3;3;4;1
231370;1;-;1;1;1;-;1;1;1;1;1;2
231375;2;-;-;1;1;-;2;4;1;-;2;3
231380;2;-;2;-;2;-;1;3;1;-;3;1
231390;1;1;1;3;3;-;-;1;-;2;1;2
231395;4;-;3;1;1;5;1;2;-;1;1;2
231400;2;4;4;4;7;4;9;4;6;3;6;5
231410;5;2;4;3;7;5;6;4;8;4;2;7
230000;-;-;-;-;-;-;1;-;-;-;-;-
